word,pos
木,名詞
ホテル,名詞
消える,動詞
酒,名詞
美味しい,形容詞
白い,形容詞
幾,名詞
着る,動詞
遊ぶ,動詞
海,名詞
起きる,動詞
駅,名詞
頼む,動詞
兄,名詞
明日,名詞
押す,動詞
辛い,形容詞
楽しい,形容詞
可愛い,形容詞
低い,形容詞
横,名詞
軽い,形容詞
全部,名詞
始まる,動詞
語,名詞
半,名詞
勉強,名詞
旅行,名詞
料理,名詞
女の子,名詞
昨日,名詞
台,名詞
窓,名詞
張る,動詞
猫,名詞
痛い,形容詞
右,名詞
花,名詞
ドア,名詞
返す,動詞
歯,名詞
新聞,名詞
伯父,名詞
重い,形容詞
川,名詞
姉,名詞
遅い,形容詞
後ろ,名詞
空,名詞
映画,名詞
番号,名詞
紙,名詞
渡る,動詞
古い,形容詞
広い,形容詞
薬,名詞
服,名詞
止まる,動詞
隣り,名詞
両親,名詞
夏,名詞
英語,名詞
飛ぶ,動詞
タバコ,名詞
渡す,動詞
大人,名詞
病気,名詞
歌,名詞
元気,名詞
今年,名詞
赤い,形容詞
半分,名詞
出掛ける,動詞
婆,名詞
向こう,名詞
洗う,動詞
雪,名詞
並ぶ,動詞
消す,動詞
短い,形容詞
疲れる,動詞
降りる,動詞
左,名詞
学生,名詞
時々,名詞
黒い,形容詞
要る,動詞
鼻,名詞
村,名詞
明るい,形容詞
薄い,形容詞
嫌い,名詞
箱,名詞
雨,名詞
黒,名詞
銀行,名詞
借りる,動詞
家庭,名詞
手紙,名詞
弱い,形容詞
椅子,名詞
テーブル,名詞
背,名詞
暗い,形容詞
魚,名詞
爺,名詞
電車,名詞
医者,名詞
伯母,名詞
遠い,形容詞
冷たい,形容詞
ベッド,名詞
絵,名詞
歌う,動詞
コーヒー,名詞
弟,名詞
宜しい,形容詞
妹,名詞
午後,名詞
狭い,形容詞
寒い,形容詞
御免,名詞
白,名詞
北,名詞
春,名詞
忙しい,形容詞
風呂,名詞
外国,名詞
雑誌,名詞
辺,名詞
吸う,動詞
履く,動詞
休む,動詞
庭,名詞
玄関,名詞
男の子,名詞
冬,名詞
御腹,名詞
音楽,名詞
兄弟,名詞
動物,名詞
貸す,動詞
昼,名詞
トイレ,名詞
着く,動詞
細い,形容詞
肉,名詞
建物,名詞
掃除,名詞
電気,名詞
橋,名詞
秋,名詞
御飯,名詞
暇,名詞
階段,名詞
熱い,形容詞
鳥,名詞
赤,名詞
被る,動詞
午前,名詞
鍵,名詞
荷物,名詞
洗濯,名詞
東,名詞
コピー,名詞
時計,名詞
ニュース,名詞
一日,名詞
暑い,形容詞
公園,名詞
机,名詞
便利,名詞
下手,名詞
門,名詞
西,名詞
太い,形容詞
文章,名詞
アパート,名詞
夕方,名詞
戸,名詞
卵,名詞
撮る,動詞
ノート,名詞
カメラ,名詞
菓子,名詞
緑,名詞
買い物,名詞
青い,形容詞
シャツ,名詞
南,名詞
タクシー,名詞
降る,動詞
嫌う,動詞
初め,名詞
靴,名詞
入り口,名詞
廊下,名詞
練習,名詞
クラス,名詞
並べる,動詞
速い,形容詞
晩,名詞
眼鏡,名詞
不味い,形容詞
スポーツ,名詞
勤める,動詞
日曜,名詞
テープ,名詞
ポケット,名詞
去年,名詞
吹く,動詞
曲がる,動詞
浴びる,動詞
食べ物,名詞
ラジオ,名詞
青,名詞
汚い,形容詞
教室,名詞
角,名詞
風邪,名詞
脱ぐ,動詞
丸い,形容詞
危ない,形容詞
登る,動詞
無くす,動詞
散歩,名詞
皿,名詞
大勢,名詞
地図,名詞
土曜,名詞
毎年,名詞
野菜,名詞
洋服,名詞
レストラン,名詞
厚い,形容詞
生徒,名詞
台所,名詞
泳ぐ,動詞
池,名詞
毎月,名詞
ペン,名詞
差す,動詞
ボタン,名詞
昨夜,名詞
カレー,名詞
弁当,名詞
天気,名詞
パーティー,名詞
来年,名詞
漢字,名詞
今朝,名詞
暖かい,形容詞
カップ,名詞
磨く,動詞
弾く,動詞
封筒,名詞
財布,名詞
閉める,動詞
テスト,名詞
帽子,名詞
塩,名詞
ズボン,名詞
喫茶,名詞
スカート,名詞
習う,動詞
咲く,動詞
牛乳,名詞
ナイフ,名詞
夏休み,名詞
砂糖,名詞
傘,名詞
授業,名詞
醤油,名詞
黄色い,形容詞
葉書,名詞
締める,動詞
コップ,名詞
デパート,名詞
シャワー,名詞
箸,名詞
警官,名詞
月曜,名詞
鞄,名詞
食堂,名詞
涼しい,形容詞
プール,名詞
ゼロ,名詞
黄色,名詞
エレベーター,名詞
フィルム,名詞
石鹸,名詞
晴れる,動詞
飲み物,名詞
鳴く,動詞
茶色,名詞
金曜,名詞
ギター,名詞
切符,名詞
出口,名詞
飴,名詞
ネクタイ,名詞
今月,名詞
上着,名詞
辞書,名詞
ハンカチ,名詞
毎晩,名詞
切手,名詞
縦,名詞
茶碗,名詞
毎朝,名詞
毎週,名詞
バター,名詞
靴下,名詞
セーター,名詞
来週,名詞
レコード,名詞
閉まる,動詞
曇る,動詞
今晩,名詞
宿題,名詞
先週,名詞
果物,名詞
片仮名,名詞
夕飯,名詞
紅茶,名詞
来月,名詞
鉛筆,名詞
水曜,名詞
火曜,名詞
先月,名詞
スリッパ,名詞
灰皿,名詞
今週,名詞
ストーブ,名詞
スプーン,名詞
平仮名,名詞
カレンダー,名詞
背広,名詞
木曜,名詞
交番,名詞
患う,動詞
ワイシャツ,名詞
手洗い,名詞
牛肉,名詞
点ける,動詞
一昨日,名詞
曇り,名詞
作文,名詞
豚肉,名詞
本棚,名詞
晩御飯,名詞
温い,形容詞
花瓶,名詞
あさって,名詞
八百屋,名詞
御巡り,名詞
ラジカセ,名詞
易しい,形容詞
一昨年,名詞
鳥肉,名詞
朝御飯,名詞
字引き,名詞
昼御飯,名詞
事,名詞
思う,動詞
仕舞う,動詞
気,名詞
呉れる,動詞
為,名詞
考える,動詞
場合,名詞
貰う,動詞
訳,名詞
間,名詞
侭,名詞
付ける,動詞
子,名詞
見える,動詞
過ぎる,動詞
必要,名詞
筈,名詞
女性,名詞
以上,名詞
始める,動詞
変わる,動詞
気持ち,名詞
関係,名詞
別,名詞
通り,名詞
心,名詞
頂く,動詞
普通,名詞
止める,動詞
受ける,動詞
続ける,動詞
力,名詞
最近,名詞
戻る,動詞
音,名詞
殆ど,名詞
場所,名詞
形,名詞
以外,名詞
最初,名詞
済む,動詞
送る,動詞
理由,名詞
昔,名詞
駄目,名詞
娘,名詞
為さる,動詞
説明,名詞
心配,名詞
御座る,動詞
生活,名詞
向かう,動詞
残る,動詞
凄い,形容詞
世界,名詞
連絡,名詞
最後,名詞
無理,名詞
探す,動詞
点,名詞
変える,動詞
積り,名詞
続く,動詞
動く,動詞
男性,名詞
時代,名詞
主人,名詞
笑う,動詞
選ぶ,動詞
経験,名詞
打つ,動詞
立てる,動詞
今度,名詞
調べる,動詞
行う,動詞
客,名詞
首,名詞
生きる,動詞
市,名詞
上がる,動詞
落ちる,動詞
深い,形容詞
決める,動詞
致す,動詞
夫,名詞
合う,動詞
似る,動詞
連れる,動詞
酷い,形容詞
相談,名詞
嬉しい,形容詞
会,名詞
周り,名詞
利用,名詞
無くなる,動詞
払う,動詞
妻,名詞
夢,名詞
式,名詞
怖い,形容詞
頑張る,動詞
息子,名詞
思い出す,動詞
県,名詞
原因,名詞
聞こえる,動詞
光,名詞
警察,名詞
注意,名詞
回る,動詞
決まる,動詞
見付ける,動詞
驚く,動詞
急,名詞
意見,名詞
予定,名詞
伝える,動詞
アメリカ,名詞
船,名詞
食事,名詞
可笑しい,形容詞
尋ねる,動詞
変,名詞
気分,名詞
席,名詞
パソコン,名詞
いらっしゃる,動詞
進む,動詞
泣く,動詞
ソフト,名詞
腕,名詞
優しい,形容詞
起こす,動詞
高校,名詞
捨てる,動詞
匂い,名詞
指,名詞
落とす,動詞
紹介,名詞
運転,名詞
社会,名詞
代わり,名詞
通る,動詞
仕方,名詞
嘘,名詞
危険,名詞
途中,名詞
火,名詞
怒る,動詞
血,名詞
安心,名詞
大体,名詞
返事,名詞
髪,名詞
楽しむ,動詞
喜ぶ,動詞
興味,名詞
増える,動詞
比べる,動詞
事故,名詞
見付かる,動詞
逃げる,動詞
格好,名詞
自由,名詞
構う,動詞
壁,名詞
運ぶ,動詞
運動,名詞
眠る,動詞
裏,名詞
正しい,形容詞
反対,名詞
都合,名詞
以下,名詞
番組,名詞
焼く,動詞
美しい,形容詞
慣れる,動詞
用意,名詞
挨拶,名詞
約束,名詞
迎える,動詞
直す,動詞
通う,動詞
答え,名詞
チェック,名詞
石,名詞
厳しい,形容詞
別れる,動詞
びっくり,名詞
寂しい,形容詞
味,名詞
仰る,動詞
負ける,動詞
下げる,動詞
値段,名詞
会話,名詞
空気,名詞
包む,動詞
字,名詞
恥ずかしい,形容詞
放送,名詞
勝つ,動詞
申す,動詞
亡くなる,動詞
ガラス,名詞
喧嘩,名詞
近所,名詞
失敗,名詞
専門,名詞
研究,名詞
世話,名詞
具合,名詞
集まる,動詞
急ぐ,動詞
表,名詞
足りる,動詞
将来,名詞
悲しい,形容詞
背中,名詞
準備,名詞
空く,動詞
社長,名詞
下がる,動詞
先輩,名詞
御陰,名詞
珍しい,形容詞
住所,名詞
両方,名詞
都,名詞
森,名詞
失礼,名詞
参る,動詞
安全,名詞
趣味,名詞
熱,名詞
遅れる,動詞
集める,動詞
卒業,名詞
布団,名詞
育てる,動詞
案内,名詞
喉,名詞
鳴る,動詞
湯,名詞
機会,名詞
塗る,動詞
戦争,名詞
計画,名詞
倒れる,動詞
試験,名詞
赤ちゃん,名詞
区,名詞
触る,動詞
適当,名詞
帰り,名詞
億,名詞
邪魔,名詞
光る,動詞
壊れる,動詞
楽しみ,名詞
技術,名詞
承知,名詞
虫,名詞
痩せる,動詞
細かい,形容詞
素晴らしい,形容詞
政治,名詞
毛,名詞
噛む,動詞
怪我,名詞
寄る,動詞
伺う,動詞
泊まる,動詞
休み,名詞
歴史,名詞
踏む,動詞
叱る,動詞
米,名詞
星,名詞
交通,名詞
畳,名詞
遠く,名詞
遊び,名詞
太る,動詞
訪ねる,動詞
草,名詞
漫画,名詞
入院,名詞
移る,動詞
固い,形容詞
以内,名詞
雲,名詞
遠慮,名詞
塵,名詞
宅,名詞
教育,名詞
道具,名詞
治る,動詞
小説,名詞
葉,名詞
空港,名詞
昼間,名詞
留守,名詞
季節,名詞
止む,動詞
間違える,動詞
濡れる,動詞
プレゼント,名詞
経済,名詞
申し上げる,動詞
汚れる,動詞
投げる,動詞
出発,名詞
真ん中,名詞
田舎,名詞
機械,名詞
試合,名詞
祖母,名詞
謝る,動詞
法律,名詞
吊る,動詞
予約,名詞
揺れる,動詞
工場,名詞
味噌,名詞
褒める,動詞
今夜,名詞
文化,名詞
着物,名詞
届ける,動詞
人形,名詞
拾う,動詞
騒ぐ,動詞
親切,名詞
スーツ,名詞
込む,動詞
盗む,動詞
枝,名詞
手伝う,動詞
滑る,動詞
踊る,動詞
壊す,動詞
アルバイト,名詞
部長,名詞
糸,名詞
店員,名詞
コンピューター,名詞
習慣,名詞
土産,名詞
湖,名詞
乾く,動詞
ガス,名詞
祝い,名詞
複雑,名詞
祖父,名詞
柔らかい,形容詞
金持ち,名詞
ケーキ,名詞
祈る,動詞
品物,名詞
嬢,名詞
隅,名詞
台風,名詞
出席,名詞
下りる,動詞
間に合う,動詞
此の頃,名詞
下着,名詞
会場,名詞
受け付け,名詞
教会,名詞
正月,名詞
国際,名詞
パパ,名詞
砂,名詞
髭,名詞
棚,名詞
神社,名詞
片付ける,動詞
会議,名詞
アジア,名詞
飾る,動詞
玩具,名詞
招待,名詞
科学,名詞
焼ける,動詞
海岸,名詞
ガソリン,名詞
旅館,名詞
カーテン,名詞
ピアノ,名詞
見舞い,名詞
折れる,動詞
中止,名詞
オーバー,名詞
入学,名詞
引っ越す,動詞
割れる,動詞
規則,名詞
指輪,名詞
市民,名詞
直る,動詞
港,名詞
浅い,形容詞
割合,名詞
支度,名詞
アルコール,名詞
赤ん坊,名詞
見物,名詞
故障,名詞
馳走,名詞
折る,動詞
課長,名詞
坂,名詞
空しい,形容詞
眠い,形容詞
差し上げる,動詞
用事,名詞
発音,名詞
不便,名詞
輸入,名詞
足す,動詞
泥棒,名詞
冷える,動詞
苛める,動詞
文学,名詞
景色,名詞
地震,名詞
人口,名詞
捕まえる,動詞
日記,名詞
西洋,名詞
サラダ,名詞
取り替える,動詞
植える,動詞
テキスト,名詞
注射,名詞
校長,名詞
電灯,名詞
乗り換える,動詞
暮れる,動詞
生産,名詞
コンサート,名詞
医学,名詞
レジ,名詞
退院,名詞
翻訳,名詞
アナウンサー,名詞
スクリーン,名詞
家内,名詞
テニス,名詞
苦い,形容詞
火事,名詞
手袋,名詞
数学,名詞
引き出し,名詞
拝見,名詞
水道,名詞
暖房,名詞
水泳,名詞
乗り物,名詞
特急,名詞
葡萄,名詞
売り場,名詞
競争,名詞
写す,動詞
産業,名詞
アクセサリー,名詞
郊外,名詞
サンダル,名詞
沸く,動詞
アフリカ,名詞
急行,名詞
屋上,名詞
掏摸,名詞
工業,名詞
絹,名詞
レポート,名詞
講義,名詞
小鳥,名詞
押し入れ,名詞
下宿,名詞
花見,名詞
汽車,名詞
地理,名詞
昼休み,名詞
オートバイ,名詞
サンドイッチ,名詞
貿易,名詞
冷房,名詞
贈り物,名詞
スーツケース,名詞
召し上がる,動詞
辞典,名詞
木綿,名詞
ステレオ,名詞
ステーキ,名詞
沸かす,動詞
柔道,名詞
ワープロ,名詞
ジャム,名詞
学部,名詞
文法,名詞
浸ける,動詞
ハンバーグ,名詞
電報,名詞
エスカレーター,名詞
輸出,名詞
床屋,名詞
忘れ物,名詞
寝坊,名詞
点く,動詞
講堂,名詞
予習,名詞
復習,名詞
展覧,名詞
知れる,動詞
他,名詞
日本,名詞
拠る,動詞
就く,動詞
付く,動詞
相手,名詞
人間,名詞
感ずる,動詞
数,名詞
方法,名詞
共,名詞
全て,名詞
願う,動詞
生,名詞
感じ,名詞
名,名詞
違い,名詞
姿,名詞
得る,動詞
状態,名詞
対する,動詞
程度,名詞
奴,名詞
身,名詞
場,名詞
実際,名詞
現在,名詞
元,名詞
勧める,動詞
奥,名詞
トウキョウ,名詞
以前,名詞
辺り,名詞
使用,名詞
実,名詞
確認,名詞
部分,名詞
気付く,動詞
経つ,動詞
評価,名詞
当たる,動詞
親,名詞
情報,名詞
思い,名詞
内容,名詞
感,名詞
無し,名詞
保険,名詞
絶対,名詞
様子,名詞
友人,名詞
殺す,動詞
馬鹿,名詞
所為,名詞
胸,名詞
際,名詞
不安,名詞
離れる,動詞
詳しい,形容詞
自身,名詞
個人,名詞
一体,名詞
地,名詞
信ずる,動詞
商品,名詞
因み,名詞
購入,名詞
逆,名詞
互い,名詞
事件,名詞
回答,名詞
合わせる,動詞
振る,動詞
一般,名詞
時期,名詞
参考,名詞
結局,名詞
存在,名詞
向ける,動詞
起こる,動詞
間違い,名詞
自然,名詞
許す,動詞
知恵,名詞
与える,動詞
取れる,動詞
届く,動詞
結果,名詞
設定,名詞
付き合う,動詞
文字,名詞
理解,名詞
其々,名詞
局,名詞
効果,名詞
勝手,名詞
現われる,動詞
袋,名詞
オオサカ,名詞
型,名詞
限り,名詞
同時,名詞
携帯,名詞
守る,動詞
意識,名詞
状況,名詞
腰,名詞
中国,名詞
考え,名詞
流れる,動詞
表情,名詞
カード,名詞
園,名詞
求める,動詞
激しい,形容詞
不思議,名詞
法,名詞
夫婦,名詞
役,名詞
対応,名詞
記憶,名詞
件,名詞
本人,名詞
基本,名詞
判断,名詞
残す,動詞
面,名詞
母親,名詞
事実,名詞
今回,名詞
腹,名詞
軍,名詞
行動,名詞
限る,動詞
精神,名詞
表示,名詞
希望,名詞
少年,名詞
笑い,名詞
肩,名詞
抱く,動詞
次第,名詞
削除,名詞
身体,名詞
隠す,動詞
丸,名詞
只,名詞
抜く,動詞
サイト,名詞
曲,名詞
失う,動詞
性格,名詞
自動,名詞
馬,名詞
距離,名詞
近付く,動詞
他人,名詞
繰り返す,動詞
城,名詞
仕様,名詞
敵,名詞
過去,名詞
例,名詞
責任,名詞
目的,名詞
食う,動詞
想像,名詞
差,名詞
始め,名詞
従う,動詞
年齢,名詞
悩む,動詞
自体,名詞
叩く,動詞
当時,名詞
交換,名詞
旦那,名詞
関わる,動詞
普段,名詞
死,名詞
涙,名詞
納得,名詞
態度,名詞
外す,動詞
含む,動詞
メーカー,名詞
人々,名詞
一方,名詞
ゲーム,名詞
関する,動詞
面倒,名詞
影響,名詞
街,名詞
ネット,名詞
認める,動詞
息,名詞
茶,名詞
人生,名詞
父親,名詞
終了,名詞
楽,名詞
掴む,動詞
人物,名詞
器,名詞
登録,名詞
人気,名詞
事情,名詞
仲間,名詞
動き,名詞
癖,名詞
妊娠,名詞
肌,名詞
受け取る,動詞
レベル,名詞
於く,動詞
叫ぶ,動詞
抜ける,動詞
事務,名詞
見詰める,動詞
触れる,動詞
落ち着く,動詞
喋る,動詞
通す,動詞
避ける,動詞
王,名詞
眺める,動詞
一応,名詞
自信,名詞
検査,名詞
暮らす,動詞
断る,動詞
最高,名詞
瞬間,名詞
期間,名詞
穴,名詞
韓国,名詞
我慢,名詞
先程,名詞
変更,名詞
愛する,動詞
検索,名詞
取り引き,名詞
種類,名詞
戦,名詞
額,名詞
正直,名詞
正面,名詞
マンション,名詞
感情,名詞
床,名詞
幸せ,名詞
多く,名詞
助ける,動詞
報告,名詞
迷惑,名詞
機能,名詞
吐く,動詞
乗せる,動詞
誘う,動詞
入り,名詞
土地,名詞
重,名詞
追う,動詞
立場,名詞
量,名詞
黙る,動詞
生む,動詞
疑問,名詞
過ごす,動詞
郵便,名詞
命,名詞
参加,名詞
一部,名詞
無視,名詞
師,名詞
管理,名詞
期待,名詞
常,名詞
回す,動詞
全体,名詞
当てる,動詞
諦める,動詞
解決,名詞
示す,動詞
道路,名詞
組,名詞
ママ,名詞
流す,動詞
一言,名詞
現実,名詞
減る,動詞
全員,名詞
迷う,動詞
立ち上がる,動詞
間違う,動詞
動かす,動詞
選手,名詞
条件,名詞
画面,名詞
板,名詞
詰まる,動詞
被害,名詞
老人,名詞
マン,名詞
広がる,動詞
満足,名詞
傷,名詞
中心,名詞
価格,名詞
契約,名詞
通常,名詞
掻く,動詞
インターネット,名詞
印象,名詞
前後,名詞
料金,名詞
一瞬,名詞
向く,動詞
金額,名詞
発見,名詞
頷く,動詞
多少,名詞
オーケー,名詞
ワン,名詞
作業,名詞
イメージ,名詞
中学,名詞
繋がる,動詞
保存,名詞
描く,動詞
一生,名詞
愛,名詞
伸ばす,動詞
アップ,名詞
覗く,動詞
噂,名詞
犯人,名詞
自宅,名詞
キョウト,名詞
学,名詞
苦労,名詞
一時,名詞
雰囲気,名詞
地域,名詞
海外,名詞
戻す,動詞
載る,動詞
版,名詞
自己,名詞
サイズ,名詞
視線,名詞
エド,名詞
女子,名詞
化粧,名詞
握る,動詞
ビール,名詞
浮かぶ,動詞
妙,名詞
神,名詞
閉じる,動詞
見掛ける,動詞
話題,名詞
以来,名詞
健康,名詞
選択,名詞
証明,名詞
成す,動詞
ビデオ,名詞
環境,名詞
今後,名詞
活動,名詞
扱う,動詞
ケース,名詞
語る,動詞
アドバイス,名詞
世間,名詞
周囲,名詞
緊張,名詞
仕方無い,形容詞
行為,名詞
派遣,名詞
汗,名詞
知識,名詞
感覚,名詞
脇,名詞
位置,名詞
主,名詞
調子,名詞
無駄,名詞
加える,動詞
教授,名詞
フランス,名詞
故,名詞
反応,名詞
生理,名詞
少女,名詞
変化,名詞
切れる,動詞
疑う,動詞
販売,名詞
抱える,動詞
最低,名詞
自ら,名詞
兵,名詞
地方,名詞
ショック,名詞
恐ろしい,形容詞
付き合い,名詞
取り出す,動詞
下ろす,動詞
翌日,名詞
繋ぐ,動詞
実家,名詞
上る,動詞
常識,名詞
気味,名詞
飛行,名詞
確かめる,動詞
慌てる,動詞
エンジン,名詞
底,名詞
文句,名詞
目立つ,動詞
攻撃,名詞
余裕,名詞
データ,名詞
狙う,動詞
左右,名詞
苦しい,形容詞
振り返る,動詞
利く,動詞
国民,名詞
縁,名詞
挟む,動詞
方向,名詞
戦う,動詞
先日,名詞
告げる,動詞
担当,名詞
誕生,名詞
終える,動詞
移動,名詞
記録,名詞
申し訳,名詞
仲,名詞
半年,名詞
笑顔,名詞
システム,名詞
辞める,動詞
発生,名詞
偉い,形容詞
出産,名詞
通ずる,動詞
一切,名詞
濃い,形容詞
出会う,動詞
組む,動詞
若者,名詞
離婚,名詞
恐怖,名詞
親父,名詞
マイ,名詞
資格,名詞
サービス,名詞
御覧,名詞
中央,名詞
超える,動詞
任せる,動詞
恋愛,名詞
礼,名詞
刑事,名詞
未,名詞
本来,名詞
無料,名詞
画像,名詞
時点,名詞
両手,名詞
ウイルス,名詞
キー,名詞
週,名詞
連中,名詞
証拠,名詞
欄,名詞
ドラマ,名詞
センター,名詞
覚悟,名詞
試す,動詞
波,名詞
土,名詞
痛み,名詞
望む,動詞
バー,名詞
支払う,動詞
旅,名詞
抵抗,名詞
表現,名詞
途端,名詞
本気,名詞
アドレス,名詞
恋人,名詞
地下,名詞
不明,名詞
移す,動詞
対象,名詞
好み,名詞
玉,名詞
努力,名詞
勢い,名詞
正確,名詞
広げる,動詞
終わり,名詞
現場,名詞
平気,名詞
襲う,動詞
闇,名詞
尻,名詞
就職,名詞
婦人,名詞
抑,名詞
最終,名詞
問う,動詞
自転,名詞
存ずる,動詞
屋敷,名詞
世の中,名詞
魅力,名詞
真剣,名詞
回転,名詞
押さえる,動詞
膝,名詞
影,名詞
飼う,動詞
能力,名詞
主婦,名詞
鉄,名詞
響く,動詞
耐える,動詞
含める,動詞
違反,名詞
表わす,動詞
去る,動詞
応ずる,動詞
グループ,名詞
流れ,名詞
便,名詞
挙げる,動詞
異常,名詞
記載,名詞
具体,名詞
ショップ,名詞
主義,名詞
昭和,名詞
述べる,動詞
労働,名詞
調査,名詞
制度,名詞
世紀,名詞
政府,名詞
図,名詞
企業,名詞
組織,名詞
価値,名詞
論,名詞
事業,名詞
異なる,動詞
都市,名詞
至る,動詞
国家,名詞
章,名詞
代表,名詞
機関,名詞
決定,名詞
明治,名詞
率,名詞
ドイツ,名詞
比較,名詞
用いる,動詞
生ずる,動詞
認識,名詞
構造,名詞
条,名詞
段階,名詞
指導,名詞
同,名詞
成功,名詞
支配,名詞
天皇,名詞
委員,名詞
処理,名詞
イギリス,名詞
現代,名詞
体験,名詞
成長,名詞
経営,名詞
主張,名詞
全国,名詞
最大,名詞
保護,名詞
範囲,名詞
基準,名詞
安定,名詞
作品,名詞
文,名詞
参照,名詞
以降,名詞
開発,名詞
障害,名詞
ヨーロッパ,名詞
構成,名詞
世,名詞
計算,名詞
特徴,名詞
作り,名詞
発展,名詞
発表,名詞
要求,名詞
住宅,名詞
学ぶ,動詞
伴う,動詞
役割,名詞
負担,名詞
進める,動詞
消費,名詞
監督,名詞
協力,名詞
目指す,動詞
批判,名詞
展開,名詞
対策,名詞
登場,名詞
開始,名詞
指摘,名詞
生命,名詞
値,名詞
捉える,動詞
集団,名詞
利益,名詞
検討,名詞
ポイント,名詞
宗教,名詞
実現,名詞
関心,名詞
資料,名詞
政策,名詞
結ぶ,動詞
日常,名詞
関連,名詞
記事,名詞
特定,名詞
基づく,動詞
基礎,名詞
規定,名詞
不足,名詞
モデル,名詞
手段,名詞
要する,動詞
分ける,動詞
姿勢,名詞
及ぶ,動詞
纏める,動詞
作成,名詞
内部,名詞
施設,名詞
成立,名詞
箇所,名詞
否定,名詞
受け入れる,動詞
果たす,動詞
説,名詞
税,名詞
出版,名詞
罪,名詞
支える,動詞
共通,名詞
傾向,名詞
訪れる,動詞
出身,名詞
編集,名詞
思想,名詞
依頼,名詞
予想,名詞
提供,名詞
費用,名詞
社員,名詞
物語,名詞
男女,名詞
地球,名詞
信頼,名詞
形成,名詞
大量,名詞
近代,名詞
集中,名詞
指示,名詞
団体,名詞
採用,名詞
迫る,動詞
大臣,名詞
越える,動詞
達する,動詞
実行,名詞
クラブ,名詞
民族,名詞
義務,名詞
制限,名詞
平成,名詞
現象,名詞
形式,名詞
共同,名詞
最,名詞
維持,名詞
戦後,名詞
訴える,動詞
分析,名詞
指定,名詞
独立,名詞
取り上げる,動詞
空間,名詞
伝わる,動詞
目標,名詞
規模,名詞
周辺,名詞
実施,名詞
数字,名詞
齎す,動詞
記す,動詞
命令,名詞
ホッカイドウ,名詞
職,名詞
初,名詞
営業,名詞
理論,名詞
単位,名詞
青年,名詞
神経,名詞
恐れる,動詞
国内,名詞
権利,名詞
改革,名詞
年金,名詞
育つ,動詞
秘密,名詞
職場,名詞
裁判,名詞
治療,名詞
旧,名詞
定める,動詞
仮,名詞
像,名詞
再生,名詞
解釈,名詞
住民,名詞
一定,名詞
重ねる,動詞
項,名詞
悪,名詞
多数,名詞
エネルギー,名詞
収入,名詞
初期,名詞
天,名詞
請求,名詞
平均,名詞
困難,名詞
所有,名詞
教師,名詞
医師,名詞
通信,名詞
体制,名詞
行政,名詞
犯罪,名詞
尽くす,動詞
職業,名詞
不満,名詞
食,名詞
